"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099822.2",6426.52287268217,-3.38173075639436,0.0498106803536907,-67.8916797036639,0,0
"ENSG00000099864.13",13368.3830579714,-4.48199262205773,0.0380084305987667,-117.921012560912,0,0
"ENSG00000011304.12",11254.2494744799,3.49924355433061,0.04170668156768,83.9012700795236,0,0
"ENSG00000116017.6",2141.19731993466,3.88437502101092,0.0989206364984483,39.267590247176,0,0
"ENSG00000064666.10",5324.44718111488,5.10149896313753,0.0788773433705838,64.6763537555965,0,0
"ENSG00000180448.6",1796.23582699888,4.36320361106699,0.116210454225235,37.5457065386767,0,0
"ENSG00000099622.9",12911.3467596025,-1.7517161093217,0.0319585334644471,-54.8121556100323,0,0
"ENSG00000115266.7",7714.00432550353,-7.07434885724761,0.0904031770412388,-78.2533212745448,0,0
"ENSG00000129968.11",5126.7559193255,-1.74228268184579,0.0439891159338527,-39.607131101832,0,0
"ENSG00000133243.4",8316.29118480272,-1.34909653358328,0.0350927454639645,-38.443744305176,0,0
"ENSG00000071626.12",5858.94491222031,1.52048091022668,0.0429648760127314,35.3889281508953,2.52744874199569e-274,2.64233277572277e-273
"ENSG00000064932.11",1959.58009729808,2.63275093403877,0.088373717135409,29.791107801936,5.09325035560235e-195,4.88103159078559e-194
"ENSG00000071564.10",4420.20353941858,2.75030139175641,0.100400302875252,27.3933575197844,3.2907059344088e-165,2.91100909582317e-164
"ENSG00000099625.8",1379.50366837085,-2.74532627147828,0.105871659497811,-25.9307002884473,3.00201689702307e-148,2.4659424511261e-147
"ENSG00000160953.10",3896.44960375587,-1.16479794083601,0.0506843934883973,-22.9813925089715,7.15559303271418e-117,5.48595465841421e-116
"ENSG00000167468.12",10115.234899595,-0.670675979169027,0.031152679670055,-21.5286770278611,8.38944210329382e-103,6.02991151174243e-102
"ENSG00000167470.8",4143.48617043279,1.11207766272522,0.052541834267251,21.1655660338902,1.98366184709338e-99,1.34188889656317e-98
"ENSG00000129946.6",1741.16969351822,-1.90554440706531,0.0903384210742551,-21.0933995126948,9.14480660706077e-99,5.84251533228882e-98
"ENSG00000172232.5",628.167886295574,5.05308834543869,0.260862891236449,19.3706675621353,1.36476597626727e-83,8.26042564582821e-83
"ENSG00000115286.15",2731.89516378425,-1.12642108920486,0.0615297855072407,-18.3069237105061,7.28721583570303e-75,4.19014910552924e-74
"ENSG00000129951.14",1378.05609957744,-1.72591642650008,0.0961263074281302,-17.9546731033071,4.41171486366358e-72,2.41593909200625e-71
"ENSG00000197561.2",936.070332901612,8.03772907301464,0.452569910664528,17.7601932510548,1.43738830930837e-70,7.51362070774831e-70
"ENSG00000099812.6",629.497587199713,6.91851502544207,0.393703676499589,17.5728992092592,3.97337711867045e-69,1.98668855933523e-68
"ENSG00000070404.5",1238.44757631803,1.99873916874224,0.115645296838998,17.2833588859639,6.27829502131136e-67,3.00834969771169e-66
"ENSG00000115268.5",17716.5026888763,0.451936700376697,0.0277083407751055,16.3104930766096,8.31190746170797e-60,3.82347743238567e-59
"ENSG00000079313.7",3424.52935112513,-0.846282285511186,0.0533937464796111,-15.8498390037932,1.4094147253766e-56,6.23394974685805e-56
"ENSG00000064687.8",1161.0607737321,2.01404608306555,0.131377318881308,15.3302419338084,4.80194740056867e-53,2.0452738928348e-52
"ENSG00000130270.12",334.45916789544,4.79733154258036,0.331490505735652,14.4720028464586,1.82091643732423e-47,7.47876393901025e-47
"ENSG00000196415.5",390.782419986634,3.2262782966072,0.246308480388035,13.0985270646163,3.35709481812232e-39,1.33126173822092e-38
"ENSG00000099624.3",3279.33457605098,-0.757992317455232,0.0624062906933939,-12.1460883034901,6.01765052817593e-34,2.30676603580077e-33
"ENSG00000129911.4",2199.19593222836,-0.88807641705642,0.0742473822711508,-11.9610468395124,5.68407879486868e-33,2.1086098755158e-32
"ENSG00000130005.7",1997.49736899121,-0.904557891890393,0.0758591275454113,-11.9241800052195,8.85516212188463e-33,3.18232388755229e-32
"ENSG00000197766.3",227.699433126891,4.30683045454947,0.372421850618669,11.5643871255001,6.24354947999209e-31,2.1757823945427e-30
"ENSG00000183186.6",884.356078374971,-3.65291789821531,0.382113023239502,-9.5597838232426,1.18002928201862e-21,3.99127551271002e-21
"ENSG00000267317.1",320.313586959808,2.48101572503896,0.263961710756601,9.39915004311632,5.50056014778306e-21,1.80732690570015e-20
"ENSG00000185988.7",61.2508360884118,-4.0561864582824,0.512392053764234,-7.91617752165369,2.44923851139834e-15,7.82395635585582e-15
"ENSG00000185761.6",194.413609853152,2.36410264913344,0.315786807871625,7.48638825373131,7.07947667881114e-14,2.20037788665752e-13
"ENSG00000070388.7",62.4013515214854,-3.99628411135314,0.54479538699678,-7.33538536987788,2.21084398307951e-13,6.69071205405643e-13
"ENSG00000127540.7",709.371123746197,-1.13769178702293,0.156814520668575,-7.25501555705691,4.01615672536284e-13,1.18425134209417e-12
"ENSG00000099866.10",184.963827023821,-2.3497294390933,0.325659025428776,-7.21530575115968,5.3812926859881e-13,1.54712164722158e-12
"ENSG00000065268.6",1220.54448907276,0.825113577226814,0.115194141446837,7.16280851494178,7.90407217314688e-13,2.21699585344364e-12
"ENSG00000182087.8",5942.96133158586,0.343710404783934,0.0484496346509413,7.09417949712561,1.30121155355952e-12,3.56284115855583e-12
"ENSG00000267530.2",57.494153761603,4.41078048899235,0.634290557772824,6.95388010264548,3.55373671331658e-12,9.50417958212573e-12
"ENSG00000228300.9",873.390638606462,0.8890349352791,0.131443957416063,6.76360444980378,1.34600254013718e-11,3.51796118444945e-11
"ENSG00000267751.1",105.547839662483,2.50503622668167,0.385807347549544,6.49297179691474,8.41594490542648e-11,2.15074147583121e-10
"ENSG00000272098.1",622.72718016301,1.06818996606499,0.164763761312557,6.48316084529434,8.98206512674295e-11,2.24551628168574e-10
"ENSG00000172270.14",29555.4910716302,0.154878825797887,0.0255654680149704,6.05812597317578,1.3771652983427e-09,3.36965977254065e-09
"ENSG00000141933.8",446.52137581736,-1.15889455275713,0.198329949440903,-5.84326550792798,5.11873343705838e-09,1.22636321929524e-08
"ENSG00000197540.3",47.3623711472078,3.249818179396,0.564225839732585,5.7597826092762,8.42223359448585e-09,1.97664665993035e-08
"ENSG00000206082.8",432.121080140463,1.17453611258469,0.205874086022194,5.70511877079118,1.16261991579137e-08,2.67402580632016e-08
"ENSG00000071655.13",2822.03717713861,-0.336756778144896,0.0607203845084722,-5.5460251260087,2.92236848372761e-08,6.58965442409167e-08
"ENSG00000266939.1",33.1652283982901,-3.18668324611686,0.599918188382006,-5.31186303037656,1.08510149826072e-07,2.3997436980766e-07
"ENSG00000118046.10",3016.26363698769,-0.289696681090548,0.0585839229282666,-4.94498604071408,7.6149320915924e-07,1.65229658591156e-06
"ENSG00000116014.5",34.2943635954895,2.96979876912442,0.62542521919593,4.74844742100823,2.04984162263022e-06,4.36540345560138e-06
"ENSG00000099617.2",184.279372289203,1.32577403248132,0.306902990584777,4.31984722584543,1.56137255695676e-05,3.26468807363686e-05
"ENSG00000116032.5",40.3741152566021,2.40306117625704,0.56827310188942,4.22870828879149,2.35036857803907e-05,4.82664975847309e-05
"ENSG00000267778.1",13.1595557676817,-4.4412632487213,1.09694916701473,-4.04874116528836,5.14938551510966e-05,0.000103891111269756
"ENSG00000099821.9",2881.61311968693,0.257441418799283,0.0641030990021545,4.01605262158434,5.91810469294993e-05,0.000117341730980904
"ENSG00000267600.1",86.1018628179143,1.51707839389267,0.378896796237633,4.00393565993947,6.22973143062426e-05,0.000121426968563015
"ENSG00000267036.1",13.9118323852057,-4.08889695969324,1.03269215343512,-3.95945388574131,7.51213474943547e-05,0.000143982582697513
"ENSG00000133275.11",4032.89078325614,0.199719191289937,0.0508397391322069,3.92840708270699,8.55103769457483e-05,0.000161208087684607
"ENSG00000175221.10",2136.07684684065,-0.291560990672781,0.0744270202473701,-3.91740781377155,8.95062570132663e-05,0.000166019670266542
"ENSG00000267759.1",10.1944921579551,6.42477614591777,1.67967151524328,3.8250194086236,0.000130761784549912,0.000238692146400634
"ENSG00000267372.1",10.0148604674085,-4.64492277068832,1.34123196262575,-3.46317631858019,0.000533838453657099,0.000959240971415099
"ENSG00000268798.1",49.3847855222758,-1.57941248144034,0.458479394256694,-3.44489305566492,0.000571285371135991,0.00101073565662522
"ENSG00000266927.2",6.99498313024137,5.8799509351623,1.79928398217718,3.26793935443555,0.00108333576311992,0.00188763049634532
"ENSG00000252933.1",6.78076990442465,5.83545774172552,1.78890600521985,3.26202591119838,0.00110619031898547,0.00189868487587058
"ENSG00000181588.15",1164.58843848517,0.899760211262215,0.28434536997924,3.16432165337493,0.00155444898316314,0.0026288475450553
"ENSG00000099817.7",5266.99604366537,-0.141341470465292,0.0455868192727953,-3.1004898503555,0.00193200835042408,0.00322001391737347
"ENSG00000119559.11",1172.7386540776,-0.348511042847122,0.115227023746933,-3.02455996444496,0.00248995106784801,0.00409063389717888
"ENSG00000272473.1",13.1491001946225,3.18872896018298,1.05651074930748,3.01816991665547,0.00254306272579671,0.00411904526009327
"ENSG00000207357.1",16.8286455907715,-2.04440870489272,0.714333200616325,-2.8619819198223,0.00421000922443239,0.00672432028902395
"ENSG00000105556.6",1141.46466652492,0.30326354062939,0.107185835028089,2.82932479417562,0.00466463329186232,0.0073483949118379
"ENSG00000181781.5",19.4595436649224,-1.83380059254175,0.672084470317804,-2.72852695387324,0.00636178908639432,0.00988656412074793
